source_id,title,year,authors,doi,methods
whiten2001,Charting Cultural Variation in Chimpanzees,2001,"Whiten, Andrew, Jane Goodall, William C. McGrew, Toshisada Nishida, Vernon Reynolds, Yukimaru Sugiyama, C. E. G. Tutin, Richard W. Wrangham, Christophe Boesch",10.1163/156853901317367717,systematic identification of stable geographic variation
hirata2001,“Sweet-potato washing” revisited,2001,"Hirata, Satoshi, Kunio Watanabe, Kawai Masao",10.1007/978-4-431-09423-4_24,NA
nakamura2004,Proximate Factors of Different Types of Grooming Hand-Clasp in Mahale Chimpanzees: Implications for Chimpanzee Social Customs,2004,"Michio Nakamura, Shigeo Uehara",10.1086/381007,variation between neighbouring populations
slagsvold2013,Vertical and horizontal transmission of nest site preferences in titmice,2013,"Tore Slagsvold, Kari Wigdahl Kleiven, Ane Eriksen, Lars Erik Johannessen",10.1016/j.anbehav.2012.10.024,"cross-generation, cross-fostering"
galdikas1983,The orangutan long call and snag crashing at Tanjung Puting Reserve,1983,Biruté M.F. Galdikas,10.1007/BF02381982,NA
lameira2013,Population-Specific Use of the Same Tool-Assisted Alarm Call between Two Wild Orangutan Populations (Pongopygmaeus wurmbii) Indicates Functional Arbitrariness,2013,"Adriano R. Lameira, Madeleine E. Hardus,Kim J. J. M. Nouwen,Eva Topelberg,Roberto A. Delgado,Berry M. Spruijt,Elisabeth H. M. Sterck,Cheryl D. Knott,Serge A. Wich",10.1371/journal.pone.0069749,geographic variation
hiraiwa1984,"Demographic study of a large-sized unit-group of chimpanzees in the Mahale Mountains, Tanzania: A preliminary report",1984,"Mariko Hiraiwa-Hasegawa, Toshikazu Hasegawa, Toshisada Nishida ",10.1007/BF02381663,NA
hindefisher1951,Further observations on the opening of milk bottles by birds.,1951," J. Fisher, R. A. Hinde",,"tracking spread of natural innovation, observation"
fisherhinde1949,The opening of milk bottles by birds.,1949," J. Fisher, R. A. Hinde",,"tracking spread of natural innovation, observation"
lefebvre1995,"The opening of milk bottles by birds: evidence for accelerating learning rates, but against the wave-of-advance model of cultural transmission",1995,Louis Lefebvre ,,"tracking spread of natural innovation, population models"
aplin2013,"Milk bottles revisited: social learning and individual variation in the blue tit, Cyanistes caeruleus",2013,"Lucy M. Aplin, Ben C. Sheldon, Julie Morand-Ferron",,experimental
